Census Year,Total Population,Census Cost,Average Cost Per Person
1790,3929214,44377,0.01
1800,5308483,66109,0.01
1810,7239881,178445,0.02
1820,9633822,208526,0.02
1830,12866020,378545,0.03
1840,17069458,833371,0.05
1850,23191876,1423351,0.06
1860,31443321,1969377,0.06
1870,38558371,3421198,0.09
1880,50155783,5790678,0.12
1890,62979766,11547127,0.18
1900,76303387,11854000,0.16
1910,91972266,15968000,0.17
1920,105710620,25117000,0.24
1930,122775046,40156000,0.33
1940,131669275,67527000,0.51
1950,151325798,91462000,0.6
1960,179323175,127934000,0.71
1970,203302031,247653000,1.22
1980,226542199,1078488000,4.76
1990,248718301,2492830000,10.02
2000,281421906,4500000000,15.99
2010,308745538,13000000000,42.11
